"编号";"位号";"封装";"数量";"名称";"供应商编号";
1;"SW4,SW7,SW5,SW6";"SW_Hotswap_Kailh_MX_1.50u";4;"SW_Push";;;
2;"SW9";"SW_Hotswap_Kailh_MX_1.00u";1;"SW_Push";;;
3;"SW8,SW10";"SW_Hotswap_Kailh_MX_2.75u";2;"SW_Push";;;
4;"SW3,SW2";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";2;"RotaryEncoder_Switch_MP";;;
5;"C11,C9,C10,C14,L1";"C_0402_1005Metric";5;"2u2";;;
6;"R5";"R_0402_1005Metric";1;"5K6";;;
7;"C7,C6,C3,C15,C2,C4,C5,C1,C8";"C_0402_1005Metric";9;"100n";;;
8;"U2";"10-WFDFN-EP_RIT";1;"RT6150B-33GQW";;;
9;"R12,R9";"R_0402_1005Metric";2;"1K";;;
10;"D7,D8,D6,D3,D4,D9,D5";"D_0402_1005Metric";7;"D";;;
11;"R11,R10";"R_0402_1005Metric";2;"R";;;
12;"J1";"USB_C_Receptacle_GCT_USB4110";1;"USB_C_Receptacle_USB2.0_14P";;;
13;"R13";"R_0402_1005Metric";1;"470R";;;
14;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
15;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
16;"C13,C12";"C_0402_1005Metric";2;"47u";;;
17;"R6";"R_0402_1005Metric";1;"10K";;;
18;"R3,R4";"R_0402_1005Metric";2;"27R";;;
19;"R15,R14";"R_0402_1005Metric";2;"56K";;;
20;"R7,R8";"R_0402_1005Metric";2;"100K";;;
21;"Q1";"SOT-523";1;"DMG1012T";;;
22;"D2";"LED_0402_1005Metric";1;"LED";;;
23;"SW1";"PinHeader_1x02_P1.00mm_Vertical";1;"SW_Push";;;
24;"R2";"R_0402_1005Metric";1;"200R";;;
25;"U3";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q16JVSS";;;
26;"C16";"C_0402_1005Metric";1;"1n";;;
27;"C18,C17";"C_0402_1005Metric";2;"15p";;;
28;"J2";"PinHeader_1x03_P1.00mm_Vertical";1;"Conn_01x03";;;
29;"R1";"R_0402_1005Metric";1;"1R";;;
30;"D1";"D_SOD-123F";1;"D_Schottky";;;
