USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_GCT_USB4110,
SW_Push,SW5,SW_Hotswap_Kailh_MX_2.25u,
SW_Push,SW6,SW_Hotswap_Kailh_MX_2.25u,
SW_Push,SW1,SW_Hotswap_Kailh_MX_1.50u,
SW_Push,SW4,SW_Hotswap_Kailh_MX_1.50u,
SW_Push,SW2,SW_Hotswap_Kailh_MX_1.50u,
SW_Push,SW3,SW_Hotswap_Kailh_MX_1.50u,
SW_Push,SW0,SW_Hotswap_Kailh_MX_1.00u,
AMS1117-3.3,U2,SOT-223-3_TabPin2,
W25Q128JVSIQ,U3,SOIC-8_5.23x5.23mm_P1.27mm,
Pec11L,VO2,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,
Pec11L,VO1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,
27R,R3,0603,
27R,R4,0603,
1K,R12,0402,
470R,R13,0402,
1K,R11,0402,
1K,R8,0402,
1K,R10,0402,
5K1,R15,0402,
200R,R2,0402,
1K,R9,0402,
1K,R0,0402,
1K,R7,0402,
5K1,R14,0402,
1K,R6,0402,
1K,R5,0402,
1R,R1,0402,
1K,R16,0402,
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,
LED,D2,LED_1206_3216Metric,
Comment,Designator,Footprint,LCSC
X322512MSB4SI,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,
2u2,C11,0402,
100n,C7,0402,
2u2,C9,0402,
10n,C16,0402,
100n,C6,0402,
100n,C3,0402,
100n,C15,0402,
10n,C19,0402,
100n,C2,0402,
10u,C12,0402,
10n,C20,0402,
100n,C4,0402,
2u2,C10,0402,
10u,C13,0402,
10n,C0,0402,
100n,C5,0402,
100n,C1,0402,
2u2,C14,0402,
20p,C18,0402,
20p,C17,0402,
100n,C8,0402,
